,name,ticker,index,industry
329,"Zhuzhou Times New Material Technology Co., Ltd.",600458.SS,Shanghai,Basic Materials
330,"Sino-Platinum Metals Co.,Ltd",600459.SS,Shanghai,Basic Materials
331,"Hangzhou Silan Microelectronics Co., Ltd",600460.SS,Shanghai,Technology
332,"Jiangxi Hongcheng Environment Co.,Ltd.",600461.SS,Shanghai,Utilities
333,"Beijing Airport High-Tech Park Co., Ltd.",600463.SS,Shanghai,Industrials
334,"Sichuan Languang Development Co., Ltd.",600466.SS,Shanghai,Real Estate
335,"Shandong Homey Aquatic Development Co.,Ltd.",600467.SS,Shanghai,Consumer Defensive
336,"Tianjin Benefo Tejing Electric Co., Ltd.",600468.SS,Shanghai,Industrials
337,"Aeolus Tyre Co., Ltd.",600469.SS,Shanghai,Consumer Cyclical
338,"Anhui Liuguo Chemical Co., Ltd.",600470.SS,Shanghai,Basic Materials
339,"Wuxi Huaguang Environment & Energy Group Co.,Ltd.",600475.SS,Shanghai,Industrials
340,"Hunan Copote Science Technology Co.,Ltd.",600476.SS,Shanghai,Technology
341,"Hang Xiao Steel Structure Co., Ltd.",600477.SS,Shanghai,Basic Materials
342,"Hunan Corun New Energy Co., Ltd.",600478.SS,Shanghai,Industrials
343,"ZhuZhou QianJin Pharmaceutical Co.,Ltd",600479.SS,Shanghai,Healthcare
344,Ling Yun Industrial Corporation Limited,600480.SS,Shanghai,Consumer Cyclical
345,"Shuangliang Eco-Energy Systems Co.,Ltd",600481.SS,Shanghai,Industrials
346,"China Shipbuilding Industry Group Power Co., Ltd.",600482.SS,Shanghai,Industrials
347,"Fujian Funeng Co., Ltd.",600483.SS,Shanghai,Utilities
348,"Jiangsu Yangnong Chemical Co., Ltd.",600486.SS,Shanghai,Basic Materials
349,"Hengtong Optic-Electric Co., Ltd.",600487.SS,Shanghai,Technology
350,"Tianjin Tianyao Pharmaceuticals Co., Ltd.",600488.SS,Shanghai,Healthcare
351,"Zhongjin Gold Corp.,Ltd",600489.SS,Shanghai,Basic Materials
352,"Pengxin International Mining Co.,Ltd",600490.SS,Shanghai,Basic Materials
353,"Long Yuan Construction Group Co., Ltd.",600491.SS,Shanghai,Industrials
354,"Fujian Fynex Textile Science & Technology Co., Ltd.",600493.SS,Shanghai,Consumer Cyclical
355,Jinxi Axle Company Limited,600495.SS,Shanghai,Industrials
356,"Changjiang & Jinggong Steel Building (Group) Co., Ltd",600496.SS,Shanghai,Industrials
357,"Yunnan Chihong Zinc & Germanium Co., Ltd.",600497.SS,Shanghai,Basic Materials
358,"Fiberhome Telecommunication Technologies Co., Ltd.",600498.SS,Shanghai,Technology
359,"Keda Industrial Group Co., Ltd.",600499.SS,Shanghai,Industrials
360,Sinochem International Corporation,600500.SS,Shanghai,Industrials
361,Aerosun Corporation,600501.SS,Shanghai,Consumer Cyclical
362,"Anhui Construction Engineering Group Co., Ltd.",600502.SS,Shanghai,Industrials
363,"Deluxe Family Co., Ltd.",600503.SS,Shanghai,Real Estate
364,"Sichuan Xichang Electric Power Co.,Ltd.",600505.SS,Shanghai,Utilities
365,"Xinjiang Korla Pear Co.,Ltd",600506.SS,Shanghai,Consumer Defensive
366,"Fangda Special Steel Technology Co., Ltd.",600507.SS,Shanghai,Basic Materials
367,"Shanghai Datun Energy Resources Co., Ltd.",600508.SS,Shanghai,Energy
368,"Xinjiang Tianfu Energy Co., Ltd.",600509.SS,Shanghai,Utilities
369,"Black Peony (Group) Co., Ltd.",600510.SS,Shanghai,Consumer Cyclical
370,China National Medicines Corporation Ltd.,600511.SS,Shanghai,Healthcare
371,"Tengda Construction Group Co., Ltd.",600512.SS,Shanghai,Industrials
372,"Jiangsu Lianhuan Pharmaceutical Co., Ltd.",600513.SS,Shanghai,Healthcare
373,"FangDa Carbon New Material Co.,Ltd",600516.SS,Shanghai,Technology
374,"State Grid Yingda Co.,Ltd.",600517.SS,Shanghai,Industrials
375,"Kweichow Moutai Co., Ltd.",600519.SS,Shanghai,Consumer Defensive
376,"WenYi Trinity Technology Co., Ltd",600520.SS,Shanghai,Industrials
377,"Zhejiang Huahai Pharmaceutical Co., Ltd.",600521.SS,Shanghai,Healthcare
378,"Jiangsu Zhongtian Technology Co., Ltd.",600522.SS,Shanghai,Industrials
379,"Guizhou Guihang Automotive Components Co.,Ltd",600523.SS,Shanghai,Consumer Cyclical
380,Changyuan Technology Group Ltd.,600525.SS,Shanghai,Industrials
381,"Zhejiang Feida Environmental Science & Technology Co., Ltd.",600526.SS,Shanghai,Industrials
382,"Jiangsu Jiangnan High Polymer Fiber Co.,Ltd",600527.SS,Shanghai,Basic Materials
383,China Railway Hi-tech Industry Corporation Limited,600528.SS,Shanghai,Industrials
384,"Shandong Pharmaceutical Glass Co., Ltd",600529.SS,Shanghai,Consumer Cyclical
385,"Shanghai Jiaoda Onlly Co.,Ltd",600530.SS,Shanghai,Healthcare
386,"Henan Yuguang Gold&Lead Co.,Ltd.",600531.SS,Shanghai,Basic Materials
387,"Shanghai Topcare Medical Services Co., Ltd.",600532.SS,Shanghai,Basic Materials
388,"Nanjing Chixia Development Co., Ltd.",600533.SS,Shanghai,Real Estate
389,"Tasly Pharmaceutical Group Co., Ltd",600535.SS,Shanghai,Healthcare
390,China National Software & Service Company Limited,600536.SS,Shanghai,Technology
391,"EGing Photovoltaic Technology Co.,Ltd.",600537.SS,Shanghai,Technology
392,"Beihai Gofar Chuanshan Biological Co., Ltd.",600538.SS,Shanghai,Basic Materials
393,"Lionhead Technology Development Co., Ltd.",600539.SS,Shanghai,Basic Materials
394,"Xinjiang Sayram Modern Agriculture Co., Ltd",600540.SS,Shanghai,Consumer Defensive
395,"Gansu Mogao Industrial Development Co.,Ltd",600543.SS,Shanghai,Consumer Defensive
396,"Saurer Intelligent Technology Co.,Ltd.",600545.SS,Shanghai,Industrials
397,"Shanxi Coal International Energy Group Co.,Ltd",600546.SS,Shanghai,Industrials
398,"Shandong Gold Mining Co., Ltd.",600547.SS,Shanghai,Basic Materials
399,Shenzhen Expressway Corporation Limited,600548.SS,Shanghai,Industrials
400,"Xiamen Tungsten Co., Ltd.",600549.SS,Shanghai,Basic Materials
401,"Baoding Tianwei Baobian Electric Co., Ltd.",600550.SS,Shanghai,Industrials
402,"Time Publishing and Media Co., Ltd.",600551.SS,Shanghai,Communication Services
403,"Triumph Science & Technology Co.,Ltd",600552.SS,Shanghai,Industrials
404,"Inmyshow Digital Technology(Group)Co.,Ltd.",600556.SS,Shanghai,Communication Services
405,"Jiangsu Kanion Pharmaceutical Co.,Ltd.",600557.SS,Shanghai,Healthcare
406,"Atlantic China Welding Consumables, Inc.",600558.SS,Shanghai,Industrials
407,"Hebei Hengshui Laobaigan Liquor Co., Ltd.",600559.SS,Shanghai,Consumer Defensive
408,"Beijing AriTime Intelligent Control Co., Ltd.",600560.SS,Shanghai,Industrials
409,"Jiangxi Changyun Co., Ltd.",600561.SS,Shanghai,Industrials
410,"Glarun Technology Co.,Ltd",600562.SS,Shanghai,Technology
411,"Xiamen Faratronic Co., Ltd.",600563.SS,Shanghai,Technology
412,"DIMA HOLDINGS Co. ,Ltd.",600565.SS,Shanghai,Consumer Cyclical
413,"Hubei Jumpcan Pharmaceutical Co., Ltd.",600566.SS,Shanghai,Healthcare
414,"Shanying International Holdings Co.,Ltd",600567.SS,Shanghai,Basic Materials
415,"Anyang Iron and Steel Co., Ltd.",600569.SS,Shanghai,Basic Materials
416,Hundsun Technologies Inc.,600570.SS,Shanghai,Technology
417,"Sunyard Technology Co.,Ltd",600571.SS,Shanghai,Technology
418,"Zhejiang CONBA Pharmaceutical Co.,Ltd.",600572.SS,Shanghai,Healthcare
419,"FuJian YanJing HuiQuan Brewery Co.,Ltd",600573.SS,Shanghai,Consumer Defensive
420,"Huaihe Energy (Group) Co.,Ltd",600575.SS,Shanghai,Industrials
421,"Zhejiang Sunriver Culture Co.,Ltd.",600576.SS,Shanghai,Communication Services
422,"Tongling Jingda Special Magnet Wire Co., Ltd.",600577.SS,Shanghai,Industrials
423,"Beijing Jingneng Power Co., Ltd.",600578.SS,Shanghai,Utilities
424,KraussMaffei Company Limited,600579.SS,Shanghai,Industrials
425,"Wolong Electric Group Co.,Ltd.",600580.SS,Shanghai,Industrials
426,"XinJiang Ba Yi Iron & Steel Co.,Ltd.",600581.SS,Shanghai,Basic Materials
427,Tiandi Science & Technology Co.Ltd,600582.SS,Shanghai,Industrials
428,"Offshore Oil Engineering Co.,Ltd",600583.SS,Shanghai,Energy
429,"JCET Group Co., Ltd.",600584.SS,Shanghai,Technology
430,Anhui Conch Cement Company Limited,600585.SS,Shanghai,Basic Materials
431,"Shandong Jinjing Science and Technology Stock Co., Ltd.",600586.SS,Shanghai,Basic Materials
432,"Shinva Medical Instrument Co., Ltd.",600587.SS,Shanghai,Healthcare
433,"Yonyou Network Technology Co.,Ltd.",600588.SS,Shanghai,Technology
434,"Tellhow Sci-Tech Co., Ltd.",600590.SS,Shanghai,Technology
435,"Fujian Longxi Bearing (Group) Co., Ltd",600592.SS,Shanghai,Industrials
436,"Dalian Sunasia Tourism Holding CO.,LTD",600593.SS,Shanghai,Consumer Cyclical
437,"Guizhou Yibai Pharmaceutical Co., Ltd.",600594.SS,Shanghai,Healthcare
438,"Henan Zhongfu Industrial Co.,Ltd",600595.SS,Shanghai,Basic Materials
439,"Zhejiang Xinan Chemical Industrial Group Co.,Ltd",600596.SS,Shanghai,Basic Materials
440,"Bright Dairy & Food Co.,Ltd",600597.SS,Shanghai,Consumer Defensive
441,Heilongjiang Agriculture Company Limited,600598.SS,Shanghai,Consumer Defensive
442,Tsingtao Brewery Company Limited,600600.SS,Shanghai,Consumer Defensive
443,INESA Intelligent Tech Inc.,600602.SS,Shanghai,Technology
444,Guanghui Logistics Co.Ltd,600603.SS,Shanghai,Real Estate
445,"Shanghai Shibei Hi-Tech Co.,Ltd.",600604.SS,Shanghai,Real Estate
446,"Shanghai Huitong Energy Co.,Ltd",600605.SS,Shanghai,Industrials
447,Greenland Holdings Corporation Limited,600606.SS,Shanghai,Real Estate
448,Shenyang Jinbei Automotive Company Limited,600609.SS,Shanghai,Consumer Cyclical
449,"Shanghai Zhongyida Co., Ltd.",600610.SS,Shanghai,Basic Materials
450,"Dazhong Transportation (Group) Co., Ltd.",600611.SS,Shanghai,Industrials
451,"Lao Feng Xiang Co., Ltd.",600612.SS,Shanghai,Consumer Cyclical
452,"Shanghai Shenqi Pharmaceutical Investment Management Co., Ltd.",600613.SS,Shanghai,Healthcare
453,Shanghai Jinfeng Wine Company Limited,600616.SS,Shanghai,Consumer Defensive
454,Shanxi Guoxin Energy Corporation Limited,600617.SS,Shanghai,Energy
455,"Shanghai Chlor-Alkali Chemical Co., Ltd.",600618.SS,Shanghai,Basic Materials
456,"Shanghai Highly (Group) Co., Ltd.",600619.SS,Shanghai,Industrials
457,"Shanghai Tianchen Co.,Ltd",600620.SS,Shanghai,Real Estate
458,"Shanghai Chinafortune Co., Ltd.",600621.SS,Shanghai,Financial Services
459,"Everbright Jiabao Co., Ltd.",600622.SS,Shanghai,Real Estate
460,Shanghai Huayi Group Corporation Limited,600623.SS,Shanghai,Basic Materials
461,"Shanghai Fudan Forward S&T Co., Ltd",600624.SS,Shanghai,Industrials
462,"Shanghai Shenda Co., Ltd",600626.SS,Shanghai,Consumer Cyclical
463,"Shanghai New World Co., Ltd",600628.SS,Shanghai,Consumer Cyclical
464,Arcplus Group PLC,600629.SS,Shanghai,Industrials
465,Shanghai Dragon Corporation,600630.SS,Shanghai,Consumer Cyclical
466,"Zhejiang Daily Digital Culture Group Co.,Ltd.",600633.SS,Shanghai,Communication Services
467,"Shanghai Dazhong Public Utilities(Group) Co.,Ltd.",600635.SS,Shanghai,Utilities
468,"China Reform Culture Holdings Co., Ltd.",600636.SS,Shanghai,Basic Materials
469,"Shanghai Oriental Pearl Group Co., Ltd.",600637.SS,Shanghai,Communication Services
470,"Shanghai New Huang Pu Industrial Group Co., Ltd.",600638.SS,Shanghai,Real Estate
471,"Shanghai Jinqiao Export Processing Zone Development Co.,Ltd",600639.SS,Shanghai,Real Estate
472,"Besttone Holding Co.,Ltd",600640.SS,Shanghai,Communication Services
473,"Shanghai Wanye Enterprises Co.,Ltd",600641.SS,Shanghai,Real Estate
474,Shenergy Company Limited,600642.SS,Shanghai,Utilities
475,"Shanghai Aj Group Co.,Ltd",600643.SS,Shanghai,Financial Services
476,"Leshan Electric Power Co.,Ltd",600644.SS,Shanghai,Utilities
477,"Vcanbio Cell & Gene Engineering Corp., Ltd",600645.SS,Shanghai,Healthcare
478,"Shanghai Tongda Venture Capital Co., Ltd.",600647.SS,Shanghai,Real Estate
479,"Shanghai Waigaoqiao Free Trade Zone Group Co., Ltd.",600648.SS,Shanghai,Industrials
480,"Shanghai Chengtou Holding Co.,Ltd",600649.SS,Shanghai,Real Estate
481,"Shanghai Jin Jiang Online Network Service Co., Ltd.",600650.SS,Shanghai,Industrials
482,"Shanghai Feilo Acoustics Co.,Ltd",600651.SS,Shanghai,Consumer Cyclical
483,"Liaoning Shenhua Holdings Co.,Ltd",600653.SS,Shanghai,Consumer Cyclical
484,"Shanghai Yuyuan Tourist Mart (Group) Co., Ltd.",600655.SS,Shanghai,Consumer Cyclical
485,"Cinda Real Estate Co., Ltd.",600657.SS,Shanghai,Real Estate
486,"Beijing Electronic Zone Investment and Development Group Co., Ltd.",600658.SS,Shanghai,Technology
487,"Fuyao Glass Industry Group Co., Ltd.",600660.SS,Shanghai,Consumer Cyclical
488,"Shanghai Xinnanyang Only Education & Technology Co., Ltd.",600661.SS,Shanghai,Consumer Defensive
489,"Shanghai Foreign Service Holding Group CO.,Ltd.",600662.SS,Shanghai,Industrials
490,"Shanghai Lujiazui Finance & Trade Zone Development Co., Ltd.",600663.SS,Shanghai,Real Estate
491,"Harbin Pharmaceutical Group Co., Ltd.",600664.SS,Shanghai,Healthcare
492,"Tande Co., Ltd.",600665.SS,Shanghai,Real Estate
493,Wuxi Taiji Industry Limited Corporation,600667.SS,Shanghai,Technology
494,"Zhejiang Jianfeng Group Co., Ltd.",600668.SS,Shanghai,Basic Materials
495,"Guangdong Hec Technologyholding Co., Ltd",600673.SS,Shanghai,Technology
496,"Sichuan Chuantou Energy Co.,Ltd.",600674.SS,Shanghai,Utilities
497,China Enterprise Company Limited,600675.SS,Shanghai,Real Estate
498,"Shanghai Jiao Yun Group Co., Ltd.",600676.SS,Shanghai,Consumer Cyclical
499,"Sichuan Golden Summit (group) Joint-Stock Co., Ltd.",600678.SS,Shanghai,Basic Materials
500,"Shanghai Phoenix Enterprise (Group) Co., Ltd.",600679.SS,Shanghai,Consumer Cyclical
501,"Bestsun Energy Co., Ltd.",600681.SS,Shanghai,Utilities
502,"Nanjing Xinjiekou Department Store Co., Ltd.",600682.SS,Shanghai,Consumer Cyclical
503,Metro Land Corporation Ltd.,600683.SS,Shanghai,Real Estate
504,"Guangzhou Pearl River Development Group Co., Ltd.",600684.SS,Shanghai,Real Estate
505,CSSC Offshore & Marine Engineering (Group) Company Limited,600685.SS,Shanghai,Industrials
506,"Xiamen King Long Motor Group Co., Ltd.",600686.SS,Shanghai,Consumer Cyclical
507,Sinopec Shanghai Petrochemical Company Limited,600688.SS,Shanghai,Energy
508,"Shanghai Sanmao Enterprise (Group) Co., Ltd.",600689.SS,Shanghai,Consumer Cyclical
509,"Haier Smart Home Co., Ltd.",600690.SS,Shanghai,Consumer Cyclical
510,"Yangmei Chemical Co.,Ltd",600691.SS,Shanghai,Basic Materials
511,"Shang Hai Ya Tong Co.,Ltd.",600692.SS,Shanghai,Industrials
512,"Fujian Dongbai (Group) Co.,Ltd.",600693.SS,Shanghai,Consumer Cyclical
513,"Dashang Co., Ltd.",600694.SS,Shanghai,Consumer Cyclical
514,"Shanghai Guijiu Co.,Ltd.",600696.SS,Shanghai,Financial Services
515,"Chang Chun Eurasia Group Co., Ltd.",600697.SS,Shanghai,Consumer Cyclical
516,"Hunan Tyen Machinery Co.,Ltd",600698.SS,Shanghai,Industrials
517,Ningbo Joyson Electronic Corp.,600699.SS,Shanghai,Consumer Cyclical
518,"Shede Spirits Co., Ltd.",600702.SS,Shanghai,Consumer Defensive
519,"Sanan Optoelectronics Co., Ltd.",600703.SS,Shanghai,Technology
520,"Wuchan Zhongda Group Co.,Ltd.",600704.SS,Shanghai,Industrials
521,"AVIC Industry-Finance Holdings Co., Ltd.",600705.SS,Shanghai,Financial Services
522,"Xi'an Qujiang Cultural Tourism Co., Ltd.",600706.SS,Shanghai,Consumer Cyclical
523,"Caihong Display Devices Co.,Ltd.",600707.SS,Shanghai,Technology
524,"Bright Real Estate Group Co.,Limited",600708.SS,Shanghai,Real Estate
525,Sumec Corporation Limited,600710.SS,Shanghai,Industrials
526,"Chengtun Mining Group Co., Ltd.",600711.SS,Shanghai,Basic Materials
527,"Nanning Department Store Co., Ltd.",600712.SS,Shanghai,Consumer Cyclical
528,NanJing Pharmaceutical Company Limited,600713.SS,Shanghai,Healthcare
529,"Qinghai Jinrui Mineral Development Co., Ltd",600714.SS,Shanghai,Basic Materials
530,"Cultural Investment Holdings Co.,Ltd",600715.SS,Shanghai,Consumer Cyclical
531,Jiangsu Phoenix Property Investment Company Limited,600716.SS,Shanghai,Real Estate
532,"Tianjin Port Co., Ltd.",600717.SS,Shanghai,Industrials
533,Neusoft Corporation,600718.SS,Shanghai,Technology
534,"Gansu Qilianshan Cement Group Co., Ltd.",600720.SS,Shanghai,Basic Materials
535,"Xinjiang Bai Hua Cun Pharma Tech Co.,Ltd",600721.SS,Shanghai,Consumer Cyclical
536,"HeBei Jinniu Chemical Industry Co.,Ltd",600722.SS,Shanghai,Basic Materials
537,Ningbo Fuda Company Limited,600724.SS,Shanghai,Real Estate
538,Yunnan Yunwei Company Limited,600725.SS,Shanghai,Basic Materials
539,"Shandong Lubei Chemical Co., Ltd.",600727.SS,Shanghai,Basic Materials
540,"Pci Technology Group Co.,Ltd.",600728.SS,Shanghai,Technology
541,"Chongqing Department Store Co.,Ltd.",600729.SS,Shanghai,Consumer Cyclical
542,"China Hi-Tech Group Co., Ltd.",600730.SS,Shanghai,Consumer Defensive
543,"Hunan Haili Chemical Industry Co., Ltd.",600731.SS,Shanghai,Basic Materials
544,"Shanghai Aiko Solar Energy Co., Ltd.",600732.SS,Shanghai,Technology
545,"BAIC BluePark New Energy Technology Co.,Ltd.",600733.SS,Shanghai,Consumer Cyclical
546,"Shandong Hiking International Co.,Ltd",600735.SS,Shanghai,Industrials
547,"Suzhou New District Hi-Tech Industrial Co.,Ltd",600736.SS,Shanghai,Real Estate
548,"Cofco Sugar Holding CO.,LTD.",600737.SS,Shanghai,Consumer Defensive
549,"Lanzhou Lishang Guochao Industrial Group Co.,Ltd",600738.SS,Shanghai,Consumer Cyclical
550,"Liaoning Cheng Da Co., Ltd.",600739.SS,Shanghai,Healthcare
551,"Shanxi Coking Co., Ltd.",600740.SS,Shanghai,Basic Materials
552,HUAYU Automotive Systems Company Limited,600741.SS,Shanghai,Consumer Cyclical
553,"Changchun FAWAY Automobile Components Co.,Ltd",600742.SS,Shanghai,Consumer Cyclical
554,"Huayuan Property Co.,Ltd.",600743.SS,Shanghai,Real Estate
555,"DaTang HuaYin Electric Power Co., LTD",600744.SS,Shanghai,Utilities
556,"Wingtech Technology Co.,Ltd",600745.SS,Shanghai,Technology
557,Jiangsu SOPO Chemical Co. Ltd.,600746.SS,Shanghai,Basic Materials
558,"Shanghai Industrial Development Co.,Ltd",600748.SS,Shanghai,Real Estate
559,"Tibet Tourism Co.,Ltd",600749.SS,Shanghai,Consumer Cyclical
560,"Jiang Zhong Pharmaceutical Co.,Ltd",600750.SS,Shanghai,Healthcare
561,"HNA Technology Co.,Ltd.",600751.SS,Shanghai,Technology
562,"Fujian Oriental Silver Star Investment Co., Ltd.",600753.SS,Shanghai,Consumer Cyclical
563,"Shanghai Jin Jiang International Hotels Co., Ltd.",600754.SS,Shanghai,Consumer Cyclical
564,"Xiamen ITG Group Corp.,Ltd",600755.SS,Shanghai,Industrials
565,"Inspur Software Co., Ltd.",600756.SS,Shanghai,Technology
566,"Changjiang Publishing & Media Co.,Ltd",600757.SS,Shanghai,Communication Services
567,"LIAONING ENERGY INDUSTRY Co.,LTD",600758.SS,Shanghai,Utilities
568,AVIC Shenyang Aircraft Company Limited,600760.SS,Shanghai,Industrials
569,"Anhui Heli Co.,Ltd.",600761.SS,Shanghai,Industrials
570,Topchoice Medical Corporation,600763.SS,Shanghai,Healthcare
571,China Marine Information Electronics Company Limited,600764.SS,Shanghai,Technology
572,"AVIC Heavy Machinery Co., Ltd.",600765.SS,Shanghai,Industrials
573,"Ningbo Fubang Jingye Group Co.,Ltd",600768.SS,Shanghai,Basic Materials
574,Wuhan Xianglong Power Industry Co.Ltd,600769.SS,Shanghai,Industrials
575,"Jiangsu Zongyi Co.,LTD",600770.SS,Shanghai,Technology
576,"GuangYuYuan Chinese Herbal Medicine Co., Ltd.",600771.SS,Shanghai,Healthcare
577,"Tibet Urban Development and Investment Co.,LTD",600773.SS,Shanghai,Real Estate
578,"Hanshang Group Co., Ltd.",600774.SS,Shanghai,Consumer Cyclical
579,Nanjing Panda Electronics Company Limited,600775.SS,Shanghai,Technology
580,"Eastern Communications Co., Ltd.",600776.SS,Shanghai,Technology
581,Shandong Xinchao Energy Corporation Limited,600777.SS,Shanghai,Energy
582,"Xinjiang Youhao(Group)Co.,Ltd",600778.SS,Shanghai,Consumer Cyclical
583,"Sichuan Swellfun Co.,Ltd",600779.SS,Shanghai,Consumer Defensive
584,Top Energy Company Ltd.Shanxi,600780.SS,Shanghai,Utilities
585,"Xinyu Iron & Steel Co., Ltd",600782.SS,Shanghai,Basic Materials
586,"Luxin Venture Capital Group Co., Ltd.",600783.SS,Shanghai,Industrials
587,"Luyin Investment Group Co.,Ltd.",600784.SS,Shanghai,Basic Materials
588,"Yinchuan Xinhua Commercial (Group) Co., Ltd.",600785.SS,Shanghai,Consumer Cyclical
589,"CMST Development Co.,Ltd.",600787.SS,Shanghai,Industrials
590,"Shandong Lukang Pharmaceutical Co.,Ltd.",600789.SS,Shanghai,Healthcare
591,"Zhejiang China Light&Textile Industrial City Group Co.,Ltd",600790.SS,Shanghai,Real Estate
592,"BEH-Property Co.,Ltd",600791.SS,Shanghai,Real Estate
593,"Yunnan Coal & Energy Co.,Ltd.",600792.SS,Shanghai,Basic Materials
594,"Yibin Paper Industry Co., Ltd.",600793.SS,Shanghai,Basic Materials
595,"Zhang Jia Gang Freetrade Science&Technology Group Co.,Ltd.",600794.SS,Shanghai,Industrials
596,"GD Power Development Co.,Ltd",600795.SS,Shanghai,Utilities
597,"Zhejiang Qianjiang Biochemical Co., Ltd",600796.SS,Shanghai,Basic Materials
598,"Insigma Technology Co., Ltd.",600797.SS,Shanghai,Technology
599,Ningbo Marine Company Limited,600798.SS,Shanghai,Industrials
600,"Tian Jin Bohai Chemical Co.,Ltd.",600800.SS,Shanghai,Industrials
601,"Huaxin Cement Co., Ltd.",600801.SS,Shanghai,Basic Materials
602,Fujian Cement Inc.,600802.SS,Shanghai,Basic Materials
603,"ENN Natural Gas Co., Ltd.",600803.SS,Shanghai,Industrials
604,"Jiangsu Yueda Investment Co., Ltd.",600805.SS,Shanghai,Industrials
605,"Jinan High-tech Development Co., Ltd.",600807.SS,Shanghai,Real Estate
606,Maanshan Iron & Steel Company Limited,600808.SS,Shanghai,Basic Materials
607,"Shanxi Xinghuacun Fen Wine Factory Co.,Ltd.",600809.SS,Shanghai,Consumer Defensive
608,"Shenma Industrial Co., Ltd.",600810.SS,Shanghai,Basic Materials
609,Orient Group Incorporation,600811.SS,Shanghai,Industrials
610,North China Pharmaceutical Company Ltd.,600812.SS,Shanghai,Healthcare
611,"Hangzhou Jiebai Group Co., Limited",600814.SS,Shanghai,Consumer Cyclical
612,Xiamen XGMA Machinery Company Limited,600815.SS,Shanghai,Industrials
613,"Zhengzhou Deheng Hongsheng Technology Co., Ltd.",600817.SS,Shanghai,Industrials
614,"Zhonglu.Co.,Ltd",600818.SS,Shanghai,Consumer Cyclical
615,"Shanghai Yaohua Pilkington Glass Group Co., Ltd.",600819.SS,Shanghai,Basic Materials
616,"Shanghai Tunnel Engineering Co., Ltd.",600820.SS,Shanghai,Industrials
617,"NYOCOR Co., Ltd.",600821.SS,Shanghai,Consumer Cyclical
618,"Shanghai Material Trading Co., Ltd.",600822.SS,Shanghai,Industrials
619,"Shanghai Shimao Co., Ltd.",600823.SS,Shanghai,Real Estate
620,"Shanghai Yimin Commercial Group Co., Ltd.",600824.SS,Shanghai,Consumer Cyclical
621,"Shanghai Xinhua Media Co., Ltd.",600825.SS,Shanghai,Communication Services
622,Dlg Exhibitions & Events Corporation Limited,600826.SS,Shanghai,Communication Services
623,"Shanghai Bailian (Group) Co., Ltd.",600827.SS,Shanghai,Consumer Cyclical
624,"Maoye Commercial Co., Ltd.",600828.SS,Shanghai,Consumer Cyclical
625,HPGC Renmintongtai Pharmaceutical Corporation,600829.SS,Shanghai,Healthcare
626,"Sunny Loan Top Co.,Ltd.",600830.SS,Shanghai,Industrials
627,"Shaanxi Broadcast & TV Network Intermediary(Group)Co.,Ltd.",600831.SS,Shanghai,Communication Services
628,"Shanghai No.1 Pharmacy Co., Ltd.",600833.SS,Shanghai,Healthcare
629,"Shanghai Shentong Metro Co.,Ltd.",600834.SS,Shanghai,Industrials
630,"Shanghai Mechanical & Electrical Industry Co.,Ltd.",600835.SS,Shanghai,Industrials
631,Shanghai Eliansy Industry Group Corporation Limited,600836.SS,Shanghai,Industrials
632,"Haitong Securities Co., Ltd.",600837.SS,Shanghai,Financial Services
633,"Shanghai Join Buy Co.,Ltd.",600838.SS,Shanghai,Consumer Cyclical
634,"Sichuan Changhong Electric Co.,Ltd.",600839.SS,Shanghai,Consumer Cyclical
635,Shanghai New Power Automotive Technology Company Limited,600841.SS,Shanghai,Industrials
636,"Shang Gong Group Co., Ltd.",600843.SS,Shanghai,Industrials
637,"Danhua Chemical Technology Co.,Ltd",600844.SS,Shanghai,Basic Materials
638,"Shanghai Baosight Software Co.,Ltd.",600845.SS,Shanghai,Technology
639,"Shanghai Tongji Science&Technology Industrial Co.,Ltd",600846.SS,Shanghai,Industrials
640,"Chongqing Wanli New Energy Co., Ltd.",600847.SS,Shanghai,Industrials
641,"Shanghai Lingang Holdings Co.,Ltd.",600848.SS,Shanghai,Real Estate
642,"CETC Digital Technology Co.,Ltd.",600850.SS,Shanghai,Technology
643,"Shanghai Haixin Group Co., Ltd.",600851.SS,Shanghai,Industrials
644,"Longjian Road&Bridge Co.,Ltd",600853.SS,Shanghai,Industrials
645,"Jiangsu chunlan refrigerating equipment stock co.,ltd.",600854.SS,Shanghai,Consumer Cyclical
646,"Beijing Aerospace Changfeng Co.,Ltd",600855.SS,Shanghai,Industrials
647,"Ningbo Zhongbai Co., Ltd.",600857.SS,Shanghai,Consumer Cyclical
648,"Inzone Group Co.,Ltd",600858.SS,Shanghai,Consumer Cyclical
649,"Wangfujing Group Co., Ltd.",600859.SS,Shanghai,Consumer Cyclical
650,Beijing Jingcheng Machinery Electric Company Limited,600860.SS,Shanghai,Industrials
651,"Beijing Urban-Rural Commercial (Group) Co.,Ltd.",600861.SS,Shanghai,Consumer Cyclical
652,"AVIC Aviation High-Technology Co., Ltd.",600862.SS,Shanghai,Industrials
653,Inner Mongolia MengDian HuaNeng Thermal Power Corporation Limited,600863.SS,Shanghai,Utilities
654,"Harbin Hatou Investment Co.,Ltd",600864.SS,Shanghai,Utilities
655,"Baida Group Co.,Ltd",600865.SS,Shanghai,Consumer Cyclical
656,"Star Lake Bioscience Co., Inc.Zhaoqing Guangdong",600866.SS,Shanghai,Healthcare
